UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007154,21,,12,0,25000,27000,0,0
10007154,21,,13,2000,0,4000,-4000,0
10007780,21,,1,106688,107877,105911,111168,18524
10007780,21,,2,0,40852,51114,40480,-560
10007780,21,,3,0,-3080,0,208,561
10007780,21,,10,4634,0,4005,7496,383
10007780,21,,12,0,2775,12303,29769,26441
10007780,21,,13,25119,24238,29321,868,46758
10007774,21,,1,971535,745798,464739,566040,325812
10007774,21,,2,828064,462032,276717,509908,392564
10007774,21,,3,31745,17444,26789,105547,86114
10007774,21,,4,46516,16944,33699,13206,55348
10007774,21,,5,0,0,0,0,76619
10007774,21,,6,278926,390716,451956,521298,514671
10007774,21,,7,89948,99748,13292,14100,47827
10007774,21,,8,0,0,9189,0,14701
10007774,21,,9,7088,726,0,0,57028
10007774,21,,10,303890,214165,323939,105279,161072
10007774,21,,11,0,0,0,19932,24936
10007774,21,,12,200513,386627,257619,231084,134872
10007774,21,,13,11207,0,0,9990,17879
10004930,21,,1,29212,77244,19523,2632,1131
10004930,21,,2,6642,260,36680,0,0
10004930,21,,4,6135,-7404,0,-2360,320
10004930,21,,5,939,0,0,0,0
10004930,21,,6,9613,0,0,762,0
10004930,21,,9,0,0,0,2285,0
10004930,21,,12,14689,1513,0,0,0
10004930,21,,13,0,0,0,0,70
10007775,21,,1,84464,66311,24969,55354,45039
10007775,21,,2,40479,26004,90384,8972,86990
10007775,21,,4,-850,309,16793,1258,334
10007775,21,,6,0,12336,0,0,40
10007775,21,,7,0,0,0,0,14314
10007802,21,,1,5373,4371,2937,14813,21653
10007802,21,,2,35018,34099,63084,35600,45592
10007802,21,,4,0,0,0,15943,13018
10007802,21,,6,56140,37163,35586,13453,0
10007802,21,,10,0,0,0,10838,20770
10007802,21,,11,4502,0,0,0,0
10007802,21,,12,0,22552,76997,0,0
10005553,21,,1,75878,41348,68847,136276,102664
10005553,21,,2,35329,4799,98068,63362,54502
10005553,21,,4,5369,17956,4176,0,0
10005553,21,,5,0,0,19806,0,0
10005553,21,,6,6966,6908,0,7874,1549
10005553,21,,7,9736,1288,1150,601,1788
10005553,21,,8,-226,6061,0,0,2082
10007157,21,,1,347840,217204,156724,148965,127353
10007157,21,,2,56571,85048,55829,31447,70545
10007157,21,,3,74834,51415,46359,-10,0
10007157,21,,4,34,22702,7298,0,0
10007157,21,,6,0,30898,28221,69639,87813
10007157,21,,7,0,0,0,812,8569
10007157,21,,12,4020,2009,2138,3,16166
10007157,21,,13,119,5012,3299,866,1411
10007158,21,,1,170181,361849,351198,274071,260698
10007158,21,,2,54316,37556,35074,3024,0
10007158,21,,3,0,0,1988,512,0
10007158,21,,4,970,25256,0,0,0
10007158,21,,12,0,0,0,15981,6369
10007160,21,,1,42000,6000,1000,6000,15000
10007160,21,,2,0,0,0,22000,8000
10007160,21,,6,10000,30000,2000,16000,-2000
10007806,21,,1,128179,75001,217133,174722,114751
10007806,21,,2,44092,1765,43893,30654,15249
10007806,21,,4,0,0,0,29379,11251
10007806,21,,6,0,6004,67059,119559,178486
10007806,21,,9,0,0,0,0,11667
10007806,21,,10,47948,348,6,605,0
10007806,21,,12,168,0,0,0,0
10007806,21,,13,63604,96179,39899,0,0
10007163,21,,1,549689,690021,513507,296978,417906
10007163,21,,2,201188,181108,292514,164174,90931
10007163,21,,4,4201,1414,11618,0,51948
10007163,21,,5,2332,0,0,-10000,0
10007163,21,,6,137591,344479,85224,689830,809648
10007163,21,,7,0,0,0,11938,0
10007163,21,,9,0,1481,33556,-18037,47436
10007163,21,,10,130762,168724,217900,54601,37073
10007163,21,,11,2233,0,0,0,0
10007163,21,,12,0,27401,0,1960,0
10007163,21,,13,-147,0,0,0,0
10007164,21,,1,3813,0,0,0,0
10007164,21,,2,1596,2201,705,94,0
10007164,21,,6,11588,11951,114570,28212,0
10007164,21,,13,755,0,0,1818,0
10007165,21,,1,21916,99921,86250,43076,9913
10007165,21,,2,51525,41145,0,0,0
10007165,21,,5,0,2105,0,0,0
10007165,21,,6,0,17205,45597,44325,45163
10007165,21,,7,39805,14164,0,0,0
10007165,21,,9,3073,0,0,0,35576
10007165,21,,12,14606,-1166,0,0,0
10007165,21,,13,0,0,0,1873,2146
10007167,21,,1,24405,3674,167596,275891,220366
10007167,21,,2,64274,-5912,1130,92957,47875
10007167,21,,3,13255,10898,6599,4004,7296
10007167,21,,4,115409,111368,34966,32569,7962
10007167,21,,5,0,0,0,2094,0
10007167,21,,7,0,0,0,-781,33260
10007167,21,,10,34430,85720,1800,81045,25572
10007167,21,,12,15635,4260,132885,51023,279884
10007167,21,,13,0,0,0,9439,4800
10007783,21,,1,306127,333145,290002,178787,220049
10007783,21,,2,52567,51593,7399,5984,7970
10007783,21,,3,0,0,4367,1333,0
10007783,21,,4,0,0,9225,0,0
10007783,21,,6,5086,46882,200723,236577,194507
10007783,21,,7,833,44710,0,8553,0
10007783,21,,9,11734,7752,0,0,0
10007783,21,,11,0,1359,0,0,0
10007783,21,,12,27490,16010,4500,0,0
10007783,21,,13,0,3000,0,4822,178
10007852,21,,1,26881,2244,0,0,29813
10007852,21,,3,1240,10320,16729,4150,1260
10007852,21,,4,2149,11779,633,0,452
10007852,21,,6,0,0,0,0,11432
10007852,21,,10,791,0,0,0,0
10007852,21,,12,0,2334,21,0,0
10007790,21,,1,226220,516678,481683,249350,108176
10007790,21,,2,75439,33921,43086,87916,9785
10007790,21,,4,0,-36,0,0,0
10007790,21,,6,118184,201903,217666,306604,500981
10007790,21,,10,242908,205136,8086,2050,0
10007790,21,,12,32546,87911,-6302,18913,16540
10007790,21,,13,25271,25003,0,0,12614
10007794,21,,1,109939,230796,228235,264572,456978
10007794,21,,2,27021,36943,39737,9864,2485
10007794,21,,13,47307,37274,57460,19770,36382
10005500,21,,1,18356,4518,2864,1713,0
10005500,21,,2,7054,0,0,0,0
10005500,21,,3,2068,6618,0,1314,0
10005500,21,,4,50010,33849,11402,5133,43793
10005500,21,,13,1800,0,0,0,0
10007803,21,,1,179415,77326,97059,35355,37786
10007803,21,,2,5406,49354,37721,56157,40336
10007803,21,,3,22122,0,0,0,0
10007803,21,,4,-16099,42400,0,276667,341105
10007803,21,,5,34564,14279,49983,0,0
10007803,21,,6,167969,146140,227494,178539,116897
10007803,21,,9,0,0,5147,17,0
10007803,21,,10,158,0,0,0,0
10007803,21,,12,60006,71568,17549,37960,19475
10007803,21,,13,0,0,0,20708,-1728
10007805,21,,1,197213,184011,225216,145055,138472
10007805,21,,2,0,0,0,6800,8295
10007805,21,,3,76400,104713,64201,8751,91436
10007805,21,,4,20603,22798,25638,20271,41289
10007805,21,,5,0,0,0,0,32768
10007805,21,,6,748148,773771,887504,936060,824477
10007805,21,,8,38037,13237,33956,0,18246
10007805,21,,9,10952,14717,15065,51640,21542
10007805,21,,12,14590,61781,23605,43820,55605
10007805,21,,13,243,354,0,2142,0
10007856,21,,1,327490,436920,414565,318426,285714
10007856,21,,2,36085,0,-33081,92360,66214
10007856,21,,5,0,0,0,26378,26566
10007856,21,,6,475389,437652,295228,453839,104157
10007856,21,,12,0,0,0,0,1158
10007814,21,,1,47600,105965,97996,79644,-4830
10007814,21,,2,23802,23709,8776,27651,112369
10007814,21,,4,19561,106644,94010,112835,-4237
10007814,21,,6,24491,13954,0,-907,5044
10007814,21,,8,5870,0,0,0,0
10007814,21,,9,0,3202,0,0,1116
10007855,21,,1,425,46027,89347,113030,14655
10007855,21,,2,69630,36341,46278,48962,6193
10007855,21,,4,250,0,0,0,0
10007855,21,,9,0,0,10733,0,0
10007855,21,,12,0,0,10329,2760,39311
10007855,21,,13,0,0,0,1000,0
10005343,21,,1,25445,14747,8981,3103,81810
10005343,21,,2,21261,33669,19115,19445,19954
10005343,21,,3,5671,38630,0,0,0
10005343,21,,4,268563,249187,275180,244652,197501
10005343,21,,6,67876,44713,79802,133187,136988
10005343,21,,9,15859,12673,988,15088,0
10005343,21,,11,0,3549,7771,8088,3134
10005343,21,,13,9013,0,0,0,0
10008026,21,,4,1614,0,0,0,0
10007807,21,,1,2205,86044,111939,136454,58490
10007807,21,,2,20996,43188,43501,13680,901
10007807,21,,4,216329,190235,90747,71089,4099
10007807,21,,9,540,0,0,1472,4377
10007807,21,,13,3771,8295,2038,649,0
