Rank,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2014),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Categories
3930,Comparative Strategy,journal,"ISSN 01495933, 15210448",0.217,Q3,6,19,85,1563,21,78,0.16,82.26,United Kingdom,Political Science and International Relations (Q3)
3931,Journal of Medical Marketing,journal,"ISSN 17457904, 17457912",0.216,Q2,10,30,104,914,29,86,0.39,30.47,United Kingdom,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Marketing (Q3); Medicine (miscellaneous) (Q3); Strategy and Management (Q3)"
3932,International Journal of Sustainable Development,journal,"ISSN 09601406, 17415268",0.216,Q3,21,26,59,1158,31,56,0.73,44.54,United Kingdom,"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
3933,South African Journal of Philosophy,journal,ISSN 02580136,0.216,Q2,9,44,105,1395,26,103,0.22,31.7,United Kingdom,Philosophy (Q2)
3934,Acute Medicine,journal,"ISSN 17474892, 17474884",0.216,Q2,8,60,179,522,69,137,0.47,8.7,United Kingdom,Critical Care and Intensive Care Medicine (Q2); Emergency Medicine (Q3); Internal Medicine (Q3)
3935,International Journal of Management and Enterprise Development,journal,"ISSN 14684330, 17418127",0.215,Q3,25,15,57,900,20,57,0.28,60,United Kingdom,Business and International Management (Q3); Management Science and Operations Research (Q4)
3936,Industrial and Commercial Training,journal,ISSN 00197858,0.215,Q3,17,52,305,564,74,305,0.18,10.85,United Kingdom,"Business, Management and Accounting (miscellaneous) (Q3); Education (Q3); Organizational Behavior and Human Resource Management (Q3)"
3937,Research in Dance Education,journal,"ISSN 14701111, 14647893",0.215,Q1,6,25,60,750,22,49,0.42,30,United Kingdom,Visual Arts and Performing Arts (Q1); Education (Q3)
3938,Journal of Disability and Religion,journal,"ISSN 2331253X, 23312521",0.215,Q1,6,25,86,991,19,81,0.17,39.64,United Kingdom,Religious Studies (Q1); Health (social science) (Q3); Rehabilitation (Q3)
3939,American Journalism,journal,"ISSN 88211127, 23262486, 08821127",0.214,Q3,3,26,73,2738,10,58,0.15,105.31,United Kingdom,Communication (Q3)
3940,New Zealand Economic Papers,journal,"ISSN 00779954, 19434863",0.214,Q3,8,24,60,472,18,59,0.29,19.67,United Kingdom,"Economics, Econometrics and Finance (miscellaneous) (Q3)"
3941,Journal of Scandinavian Studies in Criminology and Crime Prevention,journal,"ISSN 16512340, 14043858",0.214,Q3,15,17,54,551,25,46,0.34,32.41,United Kingdom,Law (Q3)
3942,Journal of Entrepreneurship and Public Policy,journal,"ISSN 2045211X, 20452101",0.214,Q2,7,16,30,757,11,30,0.37,47.31,United Kingdom,Urban Studies (Q2); Business and International Management (Q3); Strategy and Management (Q3)
3943,Social Marketing Quarterly,journal,ISSN 15245004,0.214,Q3,19,19,71,606,51,67,0.83,31.89,United Kingdom,Economics and Econometrics (Q3); Marketing (Q3)
3944,International Heat Treatment and Surface Engineering,journal,"ISSN 17495156, 17495148",0.214,Q3,6,34,108,457,42,94,0.43,13.44,United Kingdom,Materials Science (miscellaneous) (Q3)
3945,International Journal of Urban Sustainable Development,journal,"ISSN 19463146, 19463138",0.214,Q2,5,16,32,671,25,28,0.89,41.94,United Kingdom,"Urban Studies (Q2); Development (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
3946,Photochemistry,book serie,ISSN 05563860,0.214,Q3,6,0,49,0,17,45,0.55,0,United Kingdom,Chemistry (miscellaneous) (Q3)
3947,Journal of Assistive Technologies,journal,"ISSN 17549450, 20428723",0.214,Q3,9,16,91,533,37,81,0.41,33.31,United Kingdom,Rehabilitation (Q3)
3948,Studies in Symbolic Interaction,book serie,ISSN 01632396,0.214,Q3,8,20,69,851,15,67,0.27,42.55,United Kingdom,Sociology and Political Science (Q3)
3949,"Journal of Mental Health Training, Education and Practice",journal,"ISSN 17556228, 20428707",0.213,Q3,7,24,76,743,28,70,0.58,30.96,United Kingdom,Education (Q3); Health Policy (Q3); Health (social science) (Q3); Organizational Behavior and Human Resource Management (Q3); Psychiatric Mental Health (Q3); Psychiatry and Mental Health (Q3)
3950,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",journal,ISSN 09168508,0.213,Q3,46,383,1092,6070,468,1056,0.47,15.85,United Kingdom,Computer Graphics and Computer-Aided Design (Q3); Electrical and Electronic Engineering (Q3); Signal Processing (Q3); Applied Mathematics (Q4)
3951,Chinese Medical Sciences Journal,journal,ISSN 10019294,0.213,Q3,19,54,164,825,81,158,0.48,15.28,United Kingdom,Medicine (miscellaneous) (Q3)
3952,Zoology and Ecology,journal,"ISSN 21658005, 21658013",0.213,Q3,12,52,118,1667,36,118,0.28,32.06,United Kingdom,Ecology (Q3); Animal Science and Zoology (Q4)
3953,Progress in Rubber Plastics Recycling Technology,journal,ISSN 14777606,0.213,Q3,12,16,45,435,19,45,0.52,27.19,United Kingdom,Chemical Engineering (miscellaneous) (Q3); Materials Chemistry (Q3); Polymers and Plastics (Q3); Organic Chemistry (Q4)
3954,Vakuum in Forschung und Praxis,journal,"ISSN 15222454, 0947076X",0.213,Q3,10,45,147,264,26,118,0.19,5.87,United Kingdom,"Surfaces, Coatings and Films (Q3); Condensed Matter Physics (Q4)"
3955,Economic Notes,journal,"ISSN 03915026, 14680300",0.213,Q3,15,14,23,453,9,23,0.29,32.36,United Kingdom,Economics and Econometrics (Q3)
3956,British Journal for the History of Philosophy,journal,ISSN 09608788,0.212,Q2,16,60,155,1821,45,145,0.27,30.35,United Kingdom,Philosophy (Q2)
3957,Research on Economic Inequality,book serie,ISSN 10492585,0.212,Q3,10,0,46,0,12,44,0.23,0,United Kingdom,Organizational Behavior and Human Resource Management (Q3); Sociology and Political Science (Q3)
3958,Steel in Translation,journal,ISSN 09670912,0.212,Q3,6,173,620,1827,65,618,0.1,10.56,United Kingdom,Materials Science (miscellaneous) (Q3)
3959,Chung-kuo Kung Ch'eng Hsueh K'an/Journal of the Chinese Institute of Engineers,journal,ISSN 02533839,0.212,Q3,22,104,289,2418,104,284,0.35,23.25,United Kingdom,Engineering (miscellaneous) (Q3)
3960,Popular Music and Society,journal,ISSN 03007766,0.212,Q1,18,41,114,1428,44,106,0.3,34.83,United Kingdom,Cultural Studies (Q1); Music (Q2)
3961,BMC Blood Disorders,journal,ISSN 14712326,0.211,Q3,16,0,15,0,18,15,0.55,0,United Kingdom,Hematology (Q3); Molecular Biology (Q4)
3962,Medical Law International,journal,ISSN 09685332,0.211,Q3,9,11,43,918,18,39,0.56,83.45,United Kingdom,Law (Q3); Medicine (miscellaneous) (Q3)
3963,IEICE Transactions on Electronics,journal,ISSN 09168524,0.211,Q3,41,184,824,2654,353,789,0.46,14.42,United Kingdom,"Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q4)"
3964,Asia Pacific Journal of Marketing and Logistics,journal,"ISSN 13555855, 17584248",0.211,Q3,18,51,162,3348,82,154,0.44,65.65,United Kingdom,Business and International Management (Q3); Marketing (Q3); Strategy and Management (Q3)
3965,Dental update,journal,ISSN 03055000,0.211,Q3,26,134,397,2581,120,319,0.35,19.26,United Kingdom,Dentistry (miscellaneous) (Q3)
3966,"International Journal of Metadata, Semantics and Ontologies",journal,"ISSN 17442621, 1744263X",0.211,Q3,16,33,76,998,54,73,0.87,30.24,United Kingdom,E-learning (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4); Information Systems (Q4)
3967,Education as Change,journal,ISSN 16823206,0.211,Q3,8,58,92,2107,30,83,0.35,36.33,United Kingdom,Education (Q3)
3968,Proceedings of the Institution of Civil Engineers: Bridge Engineering,journal,"ISSN 17517664, 14784637",0.21,Q3,14,30,78,444,29,65,0.53,14.8,United Kingdom,Building and Construction (Q3); Civil and Structural Engineering (Q3)
3969,Scottish Medical Journal,journal,ISSN 00369330,0.21,Q3,22,68,279,1012,118,265,0.43,14.88,United Kingdom,Medicine (miscellaneous) (Q3)
3970,Journal of Semiconductors,journal,ISSN 16744926,0.21,Q3,14,345,985,5921,439,985,0.47,17.16,United Kingdom,"Electrical and Electronic Engineering (Q3); Materials Chemistry (Q3); Condensed Matter Physics (Q4); Electronic, Optical and Magnetic Materials (Q4)"
3971,"Body, Movement and Dance in Psychotherapy",journal,ISSN 17432979,0.21,Q3,8,28,64,659,13,54,0.22,23.54,United Kingdom,Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)
3972,International Journal of Health Care Quality Assurance,journal,ISSN 09526862,0.21,Q3,35,69,503,1993,187,476,0.35,28.88,United Kingdom,Health Policy (Q3)
3973,Herpetological Bulletin,journal,ISSN 14730928,0.209,Q4,11,33,95,541,30,75,0.4,16.39,United Kingdom,"Animal Science and Zoology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
3974,Journal of Database Marketing and Customer Strategy Management,journal,"ISSN 17412439, 17412447",0.209,Q3,10,0,65,0,52,57,0.48,0,United Kingdom,Marketing (Q3); Strategy and Management (Q3)
3975,Floriculture and Ornamental Biotechnology,journal,ISSN 17490294,0.209,Q3,3,0,53,0,24,49,0.49,0,United Kingdom,Horticulture (Q3)
3976,International Sugar Journal,journal,ISSN 00208841,0.209,Q3,17,78,264,923,44,252,0.14,11.83,United Kingdom,Food Science (Q3)
3977,Distinktion,journal,"ISSN 21599149, 1600910X",0.209,Q3,7,27,74,1191,28,63,0.48,44.11,United Kingdom,Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)
3978,Revolutionary Russia,journal,"ISSN 09546545, 17437873",0.208,Q1,3,8,22,245,8,20,0.31,30.63,United Kingdom,History (Q1)
3979,The Journal of Adult Protection,journal,ISSN 14668203,0.208,Q3,9,33,102,1262,45,88,0.52,38.24,United Kingdom,Law (Q3); Sociology and Political Science (Q3)
3980,Journal of Applied Accounting Research,journal,ISSN 09675426,0.208,Q3,9,16,55,894,32,52,0.56,55.88,United Kingdom,Accounting (Q3)
