Rank,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2014),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Categories
1332,Ophthalmic and Physiological Optics,journal,"ISSN 02755408, 14751313",0.959,Q1,56,72,239,3135,504,194,2.44,43.54,United Kingdom,Ophthalmology (Q1); Optometry (Q1); Sensory Systems (Q3)
1333,Best Practice and Research in Clinical Haematology,journal,ISSN 15216926,0.959,Q2,65,39,169,1555,440,148,2.7,39.87,United Kingdom,Clinical Biochemistry (Q2); Oncology (Q2)
1334,Nephrology,journal,"ISSN 13205358, 14401797",0.959,Q2,48,162,414,3368,849,322,2.56,20.79,United Kingdom,Nephrology (Q2)
1335,International Studies Review,journal,"ISSN 14682486, 15219488",0.959,Q1,41,35,113,1714,149,90,1.13,48.97,United Kingdom,"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)"
1336,Ethnography,journal,"ISSN 14661381, 17412714",0.958,Q1,21,29,77,1231,95,73,1.3,42.45,United Kingdom,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)
1337,Psychoanalytic Dialogues,journal,ISSN 10481885,0.958,Q1,43,74,233,1901,178,216,0.57,25.69,United Kingdom,Clinical Psychology (Q1)
1338,Ethnic and Racial Studies,journal,"ISSN 01419870, 14664356",0.957,Q1,69,165,357,5292,568,342,1.52,32.07,United Kingdom,Anthropology (Q1); Cultural Studies (Q1); Sociology and Political Science (Q1)
1339,Philosophical Magazine,journal,ISSN 14786435,0.957,Q1,69,272,897,10322,1452,864,1.77,37.95,United Kingdom,Condensed Matter Physics (Q1)
1340,Macromolecular Chemistry and Physics,journal,"ISSN 10221352, 15213935",0.956,Q1,96,260,833,11664,2186,824,2.74,44.86,United Kingdom,Condensed Matter Physics (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2)
1341,"Child: Care, Health and Development",journal,"ISSN 13652214, 03051862",0.955,Q1,65,107,328,3928,780,304,2.03,36.71,United Kingdom,"Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1); Developmental and Educational Psychology (Q2)"
1342,Communication Monographs,journal,ISSN 03637751,0.955,Q1,52,21,77,1313,140,74,1.43,62.52,United Kingdom,Communication (Q1); Language and Linguistics (Q1)
1343,Journal of Heredity,journal,"ISSN 00221503, 14657333",0.954,Q1,81,94,295,5667,637,285,2.2,60.29,United Kingdom,Biotechnology (Q1); Genetics (Q3); Genetics (clinical) (Q3); Molecular Biology (Q3)
1344,Haemophilia,journal,"ISSN 13518216, 13652516",0.954,Q2,79,250,874,5907,1490,612,2.39,23.63,United Kingdom,Hematology (Q2); Genetics (clinical) (Q3)
1345,Child and Adolescent Psychiatry and Mental Health,journal,ISSN 17532000,0.954,Q1,29,31,119,1414,313,104,2.8,45.61,United Kingdom,"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q2)"
1346,Expert Review of Respiratory Medicine,journal,ISSN 17476348,0.954,Q1,28,73,226,5799,559,211,2.55,79.44,United Kingdom,"Public Health, Environmental and Occupational Health (Q1); Immunology and Allergy (Q2); Pulmonary and Respiratory Medicine (Q2)"
1347,Journal of Breath Research,journal,"ISSN 17527163, 17527155",0.953,Q2,35,55,166,2992,625,154,4.16,54.4,United Kingdom,Pulmonary and Respiratory Medicine (Q2)
1348,Clinical and Molecular Allergy,journal,ISSN 14767961,0.952,Q2,27,0,28,0,85,27,2.21,0,United Kingdom,Immunology (Q2); Immunology and Allergy (Q2); Molecular Biology (Q3)
1349,Diagnostic Pathology,journal,ISSN 17461596,0.952,Q1,35,245,570,5773,1463,555,2.85,23.56,United Kingdom,Histology (Q1); Pathology and Forensic Medicine (Q1)
1350,Journal of International Economic Law,journal,"ISSN 14643758, 13693034",0.952,Q1,37,35,93,2329,154,88,1.7,66.54,United Kingdom,"Economics, Econometrics and Finance (miscellaneous) (Q1); Law (Q1)"
1351,Journal of Tissue Engineering,journal,ISSN 20417314,0.951,Q1,13,0,43,0,126,42,3.3,0,United Kingdom,Biomedical Engineering (Q1); Medicine (miscellaneous) (Q1); Biomaterials (Q2)
1352,Paediatric Respiratory Reviews,journal,"ISSN 15260542, 15260550",0.951,Q1,50,78,166,3281,418,145,2.54,42.06,United Kingdom,"Pediatrics, Perinatology and Child Health (Q1); Pulmonary and Respiratory Medicine (Q2)"
1353,Corporate Governance,journal,"ISSN 09648410, 14678683",0.95,Q1,57,42,118,2639,283,94,2.82,62.83,United Kingdom,"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
1354,AAC: Augmentative and Alternative Communication,journal,"ISSN 14773848, 07434618",0.95,Q1,41,29,86,1615,205,80,3.02,55.69,United Kingdom,Medicine (miscellaneous) (Q1); Rehabilitation (Q1); Speech and Hearing (Q1)
1355,BMC Biochemistry,journal,ISSN 14712091,0.949,Q2,41,28,134,1188,260,131,1.64,42.43,United Kingdom,Biochemistry (Q2); Molecular Biology (Q3)
1356,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",journal,"ISSN 13645021, 14712946",0.949,Q1,98,233,621,8282,1458,609,2.29,35.55,United Kingdom,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Mathematics (miscellaneous) (Q2)
1357,Journal of NeuroEngineering and Rehabilitation,journal,ISSN 17430003,0.949,Q1,58,173,272,7533,1101,270,3.67,43.54,United Kingdom,Health Informatics (Q1); Rehabilitation (Q1)
1358,Biomedical Materials (Bristol),journal,"ISSN 1748605X, 17486041",0.948,Q1,50,82,239,3319,807,229,3.53,40.48,United Kingdom,Business and International Management (Q1); Chemistry (miscellaneous) (Q1); Mechanics of Materials (Q1)
1359,Computer-Aided Civil and Infrastructure Engineering,journal,"ISSN 14678667, 10939687",0.948,Q1,58,58,158,2714,814,149,5.45,46.79,United Kingdom,Civil and Structural Engineering (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Computational Theory and Mathematics (Q2)
1360,"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",journal,ISSN 17577241,0.947,Q1,32,118,312,2367,676,289,1.84,20.06,United Kingdom,Critical Care and Intensive Care Medicine (Q1); Emergency Medicine (Q1)
1361,Reproductive Health,journal,ISSN 17424755,0.945,Q1,31,113,164,5025,366,137,2.25,44.47,United Kingdom,Obstetrics and Gynecology (Q1); Reproductive Medicine (Q2)
1362,Veterinary Dermatology,journal,"ISSN 09594493, 13653164",0.944,Q1,46,83,294,1897,468,249,2,22.86,United Kingdom,Veterinary (miscellaneous) (Q1)
1363,Journal of Fish Biology,journal,"ISSN 00221112, 10958649",0.944,Q1,93,275,860,13621,1627,832,1.88,49.53,United Kingdom,"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
1364,Journal of Advanced Nursing,journal,"ISSN 13652648, 03092402",0.943,Q1,124,285,829,12132,1939,730,2.37,42.57,United Kingdom,Nursing (miscellaneous) (Q1)
1365,BMC Geriatrics,journal,ISSN 14712318,0.942,Q2,46,148,310,6469,821,309,2.09,43.71,United Kingdom,Geriatrics and Gerontology (Q2)
1366,Clinics in Sports Medicine,journal,ISSN 02785919,0.942,Q1,68,67,189,2770,549,158,1.9,41.34,United Kingdom,"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)"
1367,Journal of Research in Reading,journal,"ISSN 01410423, 14679817",0.942,Q1,35,31,91,1656,149,82,1.41,53.42,United Kingdom,Education (Q1); Psychology (miscellaneous) (Q1); Developmental and Educational Psychology (Q2)
1368,Vox Sanguinis,journal,"ISSN 14230410, 00429007",0.941,Q2,72,107,323,3072,749,267,2.53,28.71,United Kingdom,Hematology (Q2)
1369,MedChemComm,journal,"ISSN 20402503, 20402511",0.941,Q1,35,233,602,10372,1540,578,2.55,44.52,United Kingdom,Pharmaceutical Science (Q1); Biochemistry (Q2)
1370,Bioorganic and Medicinal Chemistry Letters,journal,"ISSN 14643405, 0960894X",0.94,Q1,121,1139,4368,32884,11277,4296,2.65,28.87,United Kingdom,Pharmaceutical Science (Q1); Biochemistry (Q2); Clinical Biochemistry (Q2); Drug Discovery (Q2); Organic Chemistry (Q2); Molecular Biology (Q3); Molecular Medicine (Q3)
1371,Digestive Endoscopy,journal,"ISSN 14431661, 09155635",0.94,Q1,40,188,472,2695,821,309,2.58,14.34,United Kingdom,"Radiology, Nuclear Medicine and Imaging (Q1); Gastroenterology (Q2)"
1372,Nordic Hydrology,journal,"ISSN 19989563, 00291277",0.94,Q1,35,66,192,2807,355,185,1.79,42.53,United Kingdom,Water Science and Technology (Q1)
1373,"Acta Psychiatrica Scandinavica, Supplement",journal,"ISSN 00651591, 16005473",0.939,Q1,58,0,14,0,38,11,3.7,0,United Kingdom,Medicine (miscellaneous) (Q1)
1374,Magazine of Concrete Research,journal,ISSN 00249831,0.939,Q1,41,108,318,2806,387,302,1.06,25.98,United Kingdom,Building and Construction (Q1); Civil and Structural Engineering (Q1); Materials Science (miscellaneous) (Q1)
1375,Journal of Managerial Psychology,journal,ISSN 02683946,0.939,Q1,54,59,143,3878,266,140,1.65,65.73,United Kingdom,Organizational Behavior and Human Resource Management (Q1); Applied Psychology (Q2); Management Science and Operations Research (Q2); Social Psychology (Q2)
1376,Seminars in Pediatric Surgery,journal,ISSN 10558586,0.939,Q1,52,70,133,3326,324,113,3.11,47.51,United Kingdom,"Pediatrics, Perinatology and Child Health (Q1); Surgery (Q1)"
1377,Journal of Applied Microbiology,journal,"ISSN 13645072, 13652672",0.938,Q2,126,363,931,15347,2661,907,2.93,42.28,United Kingdom,Applied Microbiology and Biotechnology (Q2); Biotechnology (Q2)
1378,Best Practice and Research in Clinical Anaesthesiology,journal,"ISSN 17533740, 15216896",0.938,Q1,54,72,143,2786,413,129,2.51,38.69,United Kingdom,Anesthesiology and Pain Medicine (Q1)
1379,Rheumatic Disease Clinics of North America,journal,ISSN 0889857X,0.937,Q2,77,70,155,4085,407,132,3.41,58.36,United Kingdom,Rheumatology (Q2)
1380,Journal of Contemporary Asia,journal,ISSN 00472336,0.937,Q1,25,38,95,1884,150,93,1.89,49.58,United Kingdom,Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1)
1381,Health and Social Care in the Community,journal,ISSN 09660410,0.937,Q1,53,70,200,2888,393,192,1.84,41.26,United Kingdom,"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1); Sociology and Political Science (Q1)"
1382,Asia-Pacific Journal of Teacher Education,journal,"ISSN 14692945, 1359866X",0.934,Q1,23,30,93,1172,144,82,1.21,39.07,United Kingdom,Education (Q1)
1383,Animal Genetics,journal,"ISSN 02689146, 13652052",0.934,Q1,70,168,381,4978,838,336,2.48,29.63,United Kingdom,Animal Science and Zoology (Q1); Genetics (Q3)
1384,International Journal of Systematic and Evolutionary Microbiology,journal,"ISSN 14665034, 14665026",0.934,Q2,143,672,1834,19272,5320,1781,3,28.68,United Kingdom,"Ecology, Evolution, Behavior and Systematics (Q2); Microbiology (Q2)"
1385,Health Promotion International,journal,"ISSN 09574824, 14602245",0.932,Q1,68,96,179,3582,382,171,1.8,37.31,United Kingdom,"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
1386,Management Decision,journal,ISSN 00251747,0.932,Q1,57,104,324,6471,831,321,2.31,62.22,United Kingdom,"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q2)"
1387,Numerical Mathematics,journal,ISSN 10048979,0.932,Q1,12,29,95,783,87,93,0.94,27,United Kingdom,Modeling and Simulation (Q1); Applied Mathematics (Q2); Computational Mathematics (Q2); Control and Optimization (Q2)
1388,Journal of Multilingual and Multicultural Development,journal,ISSN 01434632,0.931,Q1,30,46,120,1827,146,115,1.21,39.72,United Kingdom,Cultural Studies (Q1); Education (Q1); Language and Linguistics (Q1)
1389,Canadian Journal of Remote Sensing,journal,"ISSN 16740068, 17127971, 07038992",0.93,Q1,55,37,163,1711,297,157,1.83,46.24,United Kingdom,Earth and Planetary Sciences (miscellaneous) (Q1)
1390,Journal of Health Services Research and Policy,journal,ISSN 13558196,0.93,Q1,63,43,202,939,365,169,1.99,21.84,United Kingdom,"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
1391,Terrorism and Political Violence,journal,ISSN 09546553,0.929,Q1,36,57,129,3799,152,120,1.15,66.65,United Kingdom,"Political Science and International Relations (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Sociology and Political Science (Q1)"
1392,Journal of Positive Psychology,journal,"ISSN 17439779, 17439760",0.929,Q1,42,56,145,2392,370,140,2.31,42.71,United Kingdom,Psychology (miscellaneous) (Q1)
1393,Expert Opinion on Drug Metabolism and Toxicology,journal,ISSN 17425255,0.928,Q2,63,129,369,11853,1214,364,3.4,91.88,United Kingdom,Pharmacology (Q2); Toxicology (Q2)
1394,Hydrological Sciences Journal,journal,ISSN 02626667,0.928,Q1,73,171,347,7839,621,343,1.72,45.84,United Kingdom,Water Science and Technology (Q1)
1395,Pediatric Clinics of North America,journal,ISSN 00313955,0.928,Q1,71,93,316,4019,844,290,2.7,43.22,United Kingdom,"Pediatrics, Perinatology and Child Health (Q1)"
1396,Journal of Social Policy,journal,"ISSN 00472794, 14697823",0.928,Q1,50,63,125,2981,265,115,1.99,47.32,United Kingdom,"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)"
1397,Spinal Cord,journal,"ISSN 13624393, 14765624",0.928,Q2,89,238,631,3983,1111,518,2.17,16.74,United Kingdom,Neurology (Q2); Neurology (clinical) (Q2)
1398,British Journal of Sociology,journal,"ISSN 14684446, 00071315",0.928,Q1,71,40,112,1900,255,107,2.56,47.5,United Kingdom,Sociology and Political Science (Q1)
1399,Birth,journal,"ISSN 1523536X, 07307659",0.927,Q1,70,62,153,1682,281,118,1.59,27.13,United Kingdom,Obstetrics and Gynecology (Q1)
1400,Quest,journal,"ISSN 15432750, 00336297",0.927,Q1,38,35,99,1703,141,95,1.34,48.66,United Kingdom,Education (Q1); Sports Science (Q2)
1401,Mechanics Research Communications,journal,ISSN 00936413,0.926,Q1,50,121,317,3123,586,311,1.76,25.81,United Kingdom,Civil and Structural Engineering (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)
1402,Citizenship Studies,journal,"ISSN 13621025, 14693593",0.925,Q1,48,59,194,3066,293,188,1.17,51.97,United Kingdom,"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)"
1403,Therapeutic Advances in Respiratory Disease,journal,"ISSN 17534658, 17534666",0.925,Q2,26,20,103,763,262,93,2.59,38.15,United Kingdom,Pharmacology (medical) (Q2); Pulmonary and Respiratory Medicine (Q2)
1404,Construction Management and Economics,journal,"ISSN 1466433X, 01446193",0.923,Q1,68,90,267,4263,409,223,1.67,47.37,United Kingdom,Building and Construction (Q1); Industrial and Manufacturing Engineering (Q1); Management Information Systems (Q1)
1405,Clinical Radiology,journal,"ISSN 00099260, 1365229X",0.923,Q1,76,297,713,7216,1530,610,2.44,24.3,United Kingdom,"Radiology, Nuclear Medicine and Imaging (Q1)"
1406,Program,journal,ISSN 00330337,0.923,Q1,22,20,81,767,141,80,1.4,38.35,United Kingdom,Information Systems (Q1); Library and Information Sciences (Q1)
1407,Cancer Gene Therapy,journal,ISSN 09291903,0.922,Q3,77,73,297,3041,787,288,2.81,41.66,United Kingdom,Cancer Research (Q3); Molecular Biology (Q3); Molecular Medicine (Q3)
1408,Journal of Neurogenetics,journal,"ISSN 01677063, 15635260",0.921,Q3,30,33,102,2528,148,92,1.06,76.61,United Kingdom,Genetics (Q3); Cellular and Molecular Neuroscience (Q4)
1409,Biological Procedures Online,journal,ISSN 14809222,0.921,Q1,33,10,29,504,66,28,2.11,50.4,United Kingdom,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
1410,Philosophical Magazine Letters,journal,"ISSN 13623036, 09500839",0.921,Q1,55,104,264,2569,332,259,1.18,24.7,United Kingdom,Condensed Matter Physics (Q1)
1411,Ergonomics,journal,"ISSN 13665847, 00140139",0.921,Q1,86,155,409,6582,829,401,2.01,42.46,United Kingdom,"Human Factors and Ergonomics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)"
1412,BMC Musculoskeletal Disorders,journal,ISSN 14712474,0.92,Q1,68,463,946,16632,2430,904,2.29,35.92,United Kingdom,Orthopedics and Sports Medicine (Q1); Rheumatology (Q2)
1413,Journal of Physics A: Mathematical and Theoretical,journal,"ISSN 17518121, 17518113",0.92,Q1,117,611,2452,23481,3833,2409,1.56,38.43,United Kingdom,Mathematical Physics (Q1); Modeling and Simulation (Q1); Physics and Astronomy (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)
1414,Leiden Journal of International Law,journal,"ISSN 09221565, 14789698",0.92,Q1,14,41,144,5178,183,140,1.21,126.29,United Kingdom,Law (Q1); Political Science and International Relations (Q1)
1415,Investigative Genetics,journal,ISSN 20412223,0.918,Q1,17,18,76,1142,130,42,2.71,63.44,United Kingdom,Pathology and Forensic Medicine (Q1); Genetics (Q3); Molecular Biology (Q3)
1416,Journal of Sport and Tourism,journal,"ISSN 14775085, 10295399",0.918,Q1,14,19,51,1018,79,42,1.33,53.58,United Kingdom,"Tourism, Leisure and Hospitality Management (Q1)"
1417,Veterinary Journal,journal,ISSN 10900233,0.917,Q1,82,413,1285,12131,2373,1092,1.9,29.37,United Kingdom,Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)
1418,BMC Structural Biology,journal,ISSN 14726807,0.917,Q2,45,26,127,1216,230,123,1.51,46.77,United Kingdom,Structural Biology (Q2)
1419,Immunology and Allergy Clinics of North America,journal,ISSN 08898561,0.917,Q2,53,72,152,4159,374,126,2.41,57.76,United Kingdom,Immunology and Allergy (Q2); Immunology (Q3)
1420,Journal of Urban Affairs,journal,ISSN 07352166,0.916,Q1,46,63,86,3285,134,85,1.19,52.14,United Kingdom,Sociology and Political Science (Q1); Urban Studies (Q1)
1421,Gut Pathogens,journal,ISSN 17574749,0.914,Q2,24,48,86,1806,240,86,2.74,37.63,United Kingdom,Gastroenterology (Q2); Infectious Diseases (Q2); Microbiology (Q2); Parasitology (Q2); Virology (Q2)
1422,Archives of Clinical Neuropsychology,journal,"ISSN 08876177, 18735843",0.914,Q1,79,71,220,3372,518,218,2.25,47.49,United Kingdom,Medicine (miscellaneous) (Q1); Clinical Psychology (Q2); Neuropsychology and Physiological Psychology (Q2); Psychiatry and Mental Health (Q2)
1423,Bird Conservation International,journal,"ISSN 09592709, 14740001",0.914,Q1,32,52,132,2435,219,130,1.76,46.83,United Kingdom,Animal Science and Zoology (Q1); Ecology (Q1); Nature and Landscape Conservation (Q2)
1424,Fisheries Management and Ecology,journal,"ISSN 0969997X, 13652400",0.913,Q1,42,55,156,2404,314,153,2.32,43.71,United Kingdom,Ecology (Q1); Aquatic Science (Q2)
1425,Transgenic Research,journal,ISSN 09628819,0.913,Q1,70,99,343,3641,888,329,2.68,36.78,United Kingdom,Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Biotechnology (Q2); Genetics (Q3)
1426,Studies in Family Planning,journal,"ISSN 00393665, 17284465",0.913,Q1,55,37,90,1072,136,79,1.7,28.97,United Kingdom,Demography (Q1); Social Sciences (miscellaneous) (Q1)
1427,International Journal for Numerical Methods in Biomedical Engineering,journal,ISSN 20407939,0.912,Q1,45,94,296,4356,643,285,2.5,46.34,United Kingdom,Biomedical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1); Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Molecular Biology (Q3)
1428,Industrial Relations,journal,"ISSN 00198676, 1468232X",0.911,Q1,46,25,103,1006,158,100,1.44,40.24,United Kingdom,Industrial Relations (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)
1429,Research in Astronomy and Astrophysics,journal,ISSN 16744527,0.911,Q2,26,142,386,5752,611,385,1.85,40.51,United Kingdom,Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)
1430,Journal of Hydraulic Research/De Recherches Hydrauliques,journal,ISSN 00221686,0.909,Q1,56,81,301,2637,528,231,2.2,32.56,United Kingdom,Civil and Structural Engineering (Q1); Water Science and Technology (Q1)
1431,British Journal of Industrial Relations,journal,"ISSN 14678543, 00071080",0.909,Q1,57,25,121,1234,176,113,1.23,49.36,United Kingdom,"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1)"
1432,AIDS Research and Therapy,journal,ISSN 17426405,0.908,Q2,32,40,116,1352,239,112,1.87,33.8,United Kingdom,Pharmacology (medical) (Q2); Molecular Medicine (Q3); Virology (Q3)
1433,Journal of Cheminformatics,journal,ISSN 17582946,0.907,Q1,30,48,206,2030,725,201,4.73,42.29,United Kingdom,Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q2)
1434,Emerging Themes in Epidemiology,journal,ISSN 17427622,0.906,Q3,26,21,29,737,69,28,2.29,35.1,United Kingdom,Epidemiology (Q3)
1435,Journal of Cognitive Psychology,journal,"ISSN 20445911, 2044592X",0.906,Q1,51,78,247,3012,424,244,1.68,38.62,United Kingdom,Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q2)
1436,Oral Diseases,journal,"ISSN 1354523X, 16010825",0.905,Q1,72,136,365,5755,863,319,2.27,42.32,United Kingdom,Dentistry (miscellaneous) (Q1); Otorhinolaryngology (Q1)
1437,Journal of Telemedicine and Telecare,journal,ISSN 1357633X,0.905,Q1,63,76,288,1522,654,273,1.92,20.03,United Kingdom,Health Informatics (Q1)
1438,Journal of Ovarian Research,journal,ISSN 17572215,0.904,Q1,27,121,161,4784,461,155,3.06,39.54,United Kingdom,Obstetrics and Gynecology (Q1); Oncology (Q2)
1439,Fire Safety Journal,journal,ISSN 03797112,0.904,Q1,58,83,304,2491,544,294,1.58,30.01,United Kingdom,"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Safety, Risk, Reliability and Quality (Q1)"
1440,Calphad: Computer Coupling of Phase Diagrams and Thermochemistry,journal,ISSN 03645916,0.902,Q1,50,90,218,4145,342,214,1.5,46.06,United Kingdom,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1)
1441,Interactive Learning Environments,journal,ISSN 10494820,0.902,Q1,30,56,109,1787,163,97,1.28,31.91,United Kingdom,Computer Science Applications (Q1); Education (Q1); E-learning (Q1)
1442,Journal of Field Archaeology,journal,ISSN 00934690,0.902,Q1,20,30,74,1654,101,66,1.62,55.13,United Kingdom,Archeology (Q1); Archeology (arts and humanities) (Q1)
1443,Inhalation Toxicology,journal,"ISSN 10917691, 08958378",0.9,Q2,73,83,301,3973,764,281,2.67,47.87,United Kingdom,"Health, Toxicology and Mutagenesis (Q2); Toxicology (Q2)"
1444,Spatial Economic Analysis,journal,"ISSN 17421780, 17421772",0.898,Q1,20,24,74,1065,92,63,1,44.38,United Kingdom,"Earth and Planetary Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Statistics, Probability and Uncertainty (Q2)"
1445,Review of Income and Wealth,journal,"ISSN 00346586, 14754991",0.898,Q2,45,65,130,2555,155,117,1.23,39.31,United Kingdom,Economics and Econometrics (Q2)
1446,Scandinavian Journal of Immunology,journal,"ISSN 13653083, 03009475",0.898,Q3,77,106,423,3978,860,393,2.09,37.53,United Kingdom,Immunology (Q3)
1447,Assessment & Evaluation in Higher Education,journal,"ISSN 02602938, 1469297X",0.897,Q1,61,69,199,2279,340,196,1.33,33.03,United Kingdom,Education (Q1)
1448,Language Learning and Development,journal,"ISSN 15473341, 15475441",0.897,Q1,16,20,56,1050,83,54,1.44,52.5,United Kingdom,Education (Q1); Language and Linguistics (Q1)
1449,Marine Geodesy,journal,"ISSN 1521060X, 01490419",0.897,Q2,35,24,106,888,152,102,1.43,37,United Kingdom,Oceanography (Q2)
1450,Fortschritte der Physik,journal,"ISSN 15213978, 00158208",0.896,Q1,49,54,192,2196,319,178,2.57,40.67,United Kingdom,Physics and Astronomy (miscellaneous) (Q1)
1451,Ethology,journal,"ISSN 14390310, 01791613",0.896,Q1,61,126,376,6783,678,368,1.86,53.83,United Kingdom,"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
1452,Sociological Review,journal,"ISSN 00380261, 1467954X",0.895,Q1,58,67,179,3952,291,169,1.64,58.99,United Kingdom,Sociology and Political Science (Q1)
1453,BMC Medical Ethics,journal,ISSN 14726939,0.894,Q1,30,90,123,3619,229,122,1.86,40.21,United Kingdom,"Health Policy (Q1); Health (social science) (Q1); Issues, Ethics and Legal Aspects (Q1)"
1454,Dentomaxillofacial Radiology,journal,"ISSN 1476542X, 0250832X",0.893,Q1,59,69,353,1647,567,303,1.67,23.87,United Kingdom,"Dentistry (miscellaneous) (Q1); Otorhinolaryngology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
1455,Journal of Oral Rehabilitation,journal,"ISSN 0305182X, 13652842",0.893,Q1,75,118,330,4364,715,320,2.08,36.98,United Kingdom,Dentistry (miscellaneous) (Q1)
1456,Journal of Animal Breeding and Genetics,journal,"ISSN 09312668, 14390388",0.893,Q1,41,63,174,1571,295,153,1.66,24.94,United Kingdom,Animal Science and Zoology (Q1); Food Animals (Q1)
1457,Journal of Institutional Economics,journal,"ISSN 17441374, 17441382",0.891,Q1,13,40,94,2294,133,94,0.95,57.35,United Kingdom,"Economics, Econometrics and Finance (miscellaneous) (Q1)"
1458,Accounting and Business Research,journal,ISSN 00014788,0.89,Q2,40,32,86,2006,131,67,1.71,62.69,United Kingdom,Accounting (Q2)
1459,BMC Medical Informatics and Decision Making,journal,ISSN 14726947,0.89,Q1,50,125,411,4955,977,410,2.42,39.64,United Kingdom,Health Informatics (Q1); Health Policy (Q1)
1460,Career Development International,journal,ISSN 13620436,0.889,Q1,38,40,111,2950,245,110,1.85,73.75,United Kingdom,Social Sciences (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q2)
1461,Journal of Transport Economics and Policy,journal,ISSN 00225258,0.889,Q1,45,29,78,795,127,78,1.51,27.41,United Kingdom,"Management, Monitoring, Policy and Law (Q1); Economics and Econometrics (Q2); Transportation (Q2)"
1462,Scandinavian Journal of Primary Health Care,journal,"ISSN 02813432, 15027724",0.888,Q2,46,40,138,877,218,118,1.61,21.93,United Kingdom,"Public Health, Environmental and Occupational Health (Q2)"
1463,Leisure Sciences,journal,"ISSN 15210588, 01490400",0.888,Q1,52,30,92,1702,154,90,1.42,56.73,United Kingdom,"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1)"
1464,Parliamentary Affairs,journal,"ISSN 14602482, 00312290",0.887,Q1,32,46,140,2239,198,135,1.59,48.67,United Kingdom,Law (Q1); Sociology and Political Science (Q1)
1465,Journal of Public Health Policy,journal,"ISSN 01975897, 1745655X",0.887,Q1,39,51,171,1171,289,157,1.43,22.96,United Kingdom,"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q2)"
