UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007775,9,,Impact,0,90,10,0,0
10007775,9,,Outputs,23.1,67,9.9,0,0
10007775,9,,Overall,17,73,10,0,0
10005553,9,,Environment,0,90,10,0,0
10005553,9,,Impact,13.3,73.4,13.3,0,0
10005553,9,,Outputs,17.8,66.4,15.8,0,0
10005553,9,,Overall,14,72,14,0,0
10007157,9,,Environment,40,60,0,0,0
10007157,9,,Impact,10,60,30,0,0
10007157,9,,Outputs,23.6,70,5.5,0.9,0
10007157,9,,Overall,23,67,9,1,0
10007158,9,,Environment,15,70,15,0,0
10007158,9,,Impact,60,40,0,0,0
10007158,9,,Outputs,25,69.2,5.8,0,0
10007158,9,,Overall,31,63,6,0,0
10007160,9,,Environment,45,55,0,0,0
10007160,9,,Impact,40,50,10,0,0
10007160,9,,Outputs,15.8,63.4,20.8,0,0
10007160,9,,Overall,25,59,16,0,0
10007806,9,,Environment,10,65,25,0,0
10007806,9,,Impact,13.3,13.4,73.3,0,0
10007806,9,,Outputs,20,72.6,6.3,0,1.1
10007806,9,,Overall,17,60,22,0,1
10007163,9,,Environment,50,50,0,0,0
10007163,9,,Impact,30,50,20,0,0
10007163,9,,Outputs,24.1,72.2,3.2,0,0.5
10007163,9,,Overall,29,65,6,0,0
10007167,9,,Environment,10,65,25,0,0
10007167,9,,Impact,40,20,20,20,0
10007167,9,,Outputs,18.2,65,15.3,0.8,0.7
10007167,9,,Overall,21,56,18,5,0
10007790,9,,Environment,70,30,0,0,0
10007790,9,,Impact,46.4,46.3,7.3,0,0
10007790,9,,Outputs,26.8,69.2,3.4,0.3,0.3
10007790,9,,Overall,37,59,4,0,0
10007794,9,,Environment,30,70,0,0,0
10007794,9,,Impact,42,58,0,0,0
10007794,9,,Outputs,13.7,68.3,18,0,0
10007794,9,,Overall,22,66,12,0,0
10007764,9,,Environment,10,65,25,0,0
10007764,9,,Impact,50,36.7,13.3,0,0
10007764,9,,Outputs,21.5,73.4,5.1,0,0
10007764,9,,Overall,25,65,10,0,0
10007803,9,,Environment,70,30,0,0,0
10007803,9,,Impact,46.4,46.3,7.3,0,0
10007803,9,,Outputs,26.8,69.2,3.4,0.3,0.3
10007803,9,,Overall,37,59,4,0,0
10007805,9,,Environment,40,60,0,0,0
10007805,9,,Impact,80,20,0,0,0
10007805,9,,Outputs,27,66.7,5.4,0.9,0
10007805,9,,Overall,40,56,3,1,0
10007856,9,,Environment,0,25,75,0,0
10007856,9,,Impact,0,30,50,20,0
10007856,9,,Outputs,2.1,55.3,40.5,0,2.1
10007856,9,,Overall,1,46,48,4,1
10007814,9,,Environment,30,70,0,0,0
10007814,9,,Impact,63.3,36.7,0,0,0
10007814,9,,Outputs,21.6,77,1.4,0,0
10007814,9,,Overall,31,68,1,0,0
10007855,9,,Environment,10,65,25,0,0
10007855,9,,Impact,0,63.3,36.7,0,0
10007855,9,,Outputs,13.4,70.7,15.9,0,0
10007855,9,,Overall,10,69,21,0,0
10005343,9,,Environment,30,60,10,0,0
10005343,9,,Impact,8,76,16,0,0
10005343,9,,Outputs,25.3,62.7,12,0,0
10005343,9,,Overall,23,65,12,0,0
