UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007150,11,,1,607534,328793,558643,390130,337946
10007150,11,,2,3431,4712,0,0,479
10007150,11,,4,182913,95071,87740,74913,79375
10007150,11,,5,17493,28518,25440,17346,30069
10007150,11,,6,241777,378938,381263,267953,167607
10007150,11,,10,0,83175,93888,19638,2975
10007150,11,,11,83574,192,511,124034,184698
10007150,11,,12,-10,2625,13943,6436,53010
10003645,11,,1,1177406,1385771,749498,823135,582171
10003645,11,,2,51735,59219,111507,114607,71584
10003645,11,,3,20188,744,600,0,26
10003645,11,,4,148826,110443,88034,51393,20942
10003645,11,,5,129613,274413,166751,33219,34454
10003645,11,,6,484074,408971,417681,1119641,1400590
10003645,11,,9,0,0,0,6266,36082
10003645,11,,11,0,0,0,0,50557
10003645,11,,12,0,0,11502,53178,113978
10003645,11,,13,33340,98456,34260,0,0
10003678,11,,1,117879,34179,60739,73112,28979
10003678,11,,2,21972,9790,28116,19700,22442
10003678,11,,3,0,13100,0,0,0
10003678,11,,4,59578,219602,192481,124480,39661
10003678,11,,5,14500,110526,110815,78935,49822
10003678,11,,6,126079,143681,159527,306375,477022
10003678,11,,7,0,0,0,0,3732
10003678,11,,8,0,13210,176763,55185,41470
10003678,11,,9,34748,0,0,0,0
10003678,11,,11,4136,26181,21954,3512,4074
10003678,11,,12,0,42780,32000,47274,23341
10003678,11,,13,7317,38485,32800,0,0
10007768,11,,1,1421346,1224098,1388340,1508728,1597180
10007768,11,,2,1743,165,0,0,0
10007768,11,,4,227727,414635,296906,136045,183098
10007768,11,,5,360079,281048,215722,111366,49447
10007768,11,,6,2080797,1935569,1758729,1429205,1109357
10007768,11,,8,157560,200983,208523,148547,75220
10007768,11,,9,16902,8,12035,0,0
10007768,11,,11,0,17134,16234,72958,84594
10007768,11,,12,2050,12224,14837,12105,5453
10007768,11,,13,13192,7515,0,4337,4682
10007795,11,,1,1842563,1133827,687655,1088962,2224261
10007795,11,,2,16069,32066,54229,64995,116515
10007795,11,,4,444895,243732,138031,167570,119238
10007795,11,,5,59144,33286,112682,152831,119350
10007795,11,,6,315218,291098,734587,760859,825145
10007795,11,,9,0,0,1470,1769,0
10007795,11,,11,0,16520,2224,0,237
10007795,11,,12,0,0,70184,163809,113674
10007795,11,,15,0,0,4673,17761,24534
10003861,11,,1,30566,92558,87693,43389,6042
10003861,11,,6,26891,0,0,0,0
10003861,11,,9,0,3785,9215,675,0
10003861,11,,12,0,0,0,11000,2871
10007796,11,,1,133396,201332,101916,117560,81104
10007796,11,,2,9712,41217,60145,63493,73962
10007796,11,,4,1697,8937,53242,72213,1121
10007796,11,,5,0,6235,0,5738,2000
10007796,11,,6,385682,237148,168954,186226,197791
10007796,11,,12,6888,33384,0,0,0
10007151,11,,1,0,131334,322740,208496,191815
10007151,11,,2,0,0,-1269,0,17478
10007151,11,,3,0,18138,0,0,0
10007151,11,,4,104273,178261,82888,15181,52741
10007151,11,,5,22874,16668,384,1308,28641
10007151,11,,6,91545,86523,14100,0,191875
10007151,11,,7,0,0,0,70408,0
10007151,11,,11,2523,0,0,0,0
10007151,11,,12,0,0,0,0,6062
10006842,11,,1,931147,880193,897020,867951,711571
10006842,11,,2,18124,3470,4811,21574,8599
10006842,11,,4,1770,3281,41720,7970,70295
10006842,11,,5,61068,112355,13046,89155,53798
10006842,11,,6,91025,51799,176046,186220,139957
10006842,11,,11,0,0,0,0,22155
10006842,11,,13,614,0,2939,0,0
10003956,11,,3,0,18000,4152,0,0
10003956,11,,4,0,1876,14087,34351,17355
10003956,11,,5,874,13281,30262,22901,30770
10003957,11,,1,21269,0,0,0,0
10003957,11,,3,17565,0,0,30991,0
10003957,11,,4,60325,64301,66430,35483,39841
10003957,11,,5,77198,26769,14181,125985,7371
10003957,11,,6,0,0,57221,46988,75873
10003957,11,,12,0,0,0,1415,5876
10003957,11,,13,73290,13750,148965,0,74635
10007784,11,,1,5010000,4419000,4611000,5102000,6072000
10007784,11,,2,421000,730000,760000,713000,860000
10007784,11,,4,644000,690000,683000,659000,831000
10007784,11,,5,577000,630000,360000,-339000,368000
10007784,11,,6,1746000,2047000,2186000,2618000,2901000
10007784,11,,8,20000,3000,23000,33000,39000
10007784,11,,9,9000,2000,0,0,0
10007784,11,,10,0,0,0,21000,41000
10007784,11,,11,0,0,62000,94000,341000
10007784,11,,12,0,15000,39000,33000,94000
