Institution,FourStarMean,ThreeStarMean,TwoStarMean,OneStarMean,UnclassifiedMean,Region,Distance from London,,,,,,,,,
University of Glasgow,28.125,49.59375,19.46875,2.625,0.1875,Scotland,557.707,,,,,,,,,
University of Gloucestershire,8.833333333,32.5,40.16666667,18.16666667,0.333333333,South West England,141.575,,,,,,,,,
University of Greenwich,8.315789474,33.05263158,42.47368421,13.94736842,2.210526316,London,8.828,,,,,,,,,
University of Hertfordshire,11.84615385,43.69230769,36.53846154,7.076923077,0.846153846,East England,29.49,,,,,,,,,
University of Huddersfield,13.61538462,43.84615385,35.46153846,6,1.076923077,Yorkshire and the Humber,262.616,,,,,,,,,
University of Hull,12.4375,45.6875,35.4375,5.9375,0.5,Yorkshire and the Humber,252.811,,,,,,,,,
University of Kent,23.34782609,47.60869565,25.56521739,3.043478261,0.434782609,South East England,86.433,,,,,,,,,
University of Leeds,32.6969697,49.63636364,15.87878788,1.727272727,0.060606061,Yorkshire and the Humber,273.489,,,,,,,,,
University of Leicester,20.04,53.92,23.32,2.44,0.28,East Midlands,141.513,,,,,,,,,
University of Lincoln,11.35294118,38.35294118,38.76470588,9.882352941,1.647058824,East Midlands,193.671,,,,,,,,,
University of Liverpool,25.07692308,52.65384615,19.65384615,2.538461538,0.076923077,North West England,285.831,,,,,,,,,
University of London Institute in Paris,0,22,25,38,15,France,342.24,,,,,,,,,
University of Manchester,32.88571429,48.37142857,16.94285714,1.4,0.4,North West England,260.672,,,,,,,,,
University of Northampton,4.333333333,26.11111111,47.33333333,18.44444444,3.777777778,East Midlands,99.713,,,,,,,,,
University of Northumbria at Newcastle,13.8125,43.0625,37,6.0625,0.0625,North East England,398.586,,,,,,,,,
University of Nottingham,30.96875,47.0625,19.28125,1.90625,0.78125,East Midlands,175.164,,,,,,,,,
University of Oxford,47.48387097,38.32258065,12.5483871,1.483870968,0.161290323,South East England,82.576,,,,,,,,,
University of Plymouth,15.33333333,48.27777778,31.61111111,3.666666667,1.111111111,South West England,308.25,,,,,,,,,
University of Portsmouth,14.46666667,46.86666667,34,4.266666667,0.4,South East England,104.085,,,,,,,,,
University of Reading,24.47826087,52,21.65217391,1.826086957,0.043478261,South East England,56.919,,,,,,,,,
University of Salford,10.07692308,40,39.76923077,8.307692308,1.846153846,North West England,263.678,,,,,,,,,
University of Sheffield,31.91428571,52.31428571,14.31428571,1.228571429,0.228571429,Yorkshire and the Humber,228.064,,,,,,,,,
University of South Wales,11.41666667,37,38.91666667,10.75,1.916666667,Wales,221.901,,,,,,,,,
University of Southampton,33,48.42307692,16.88461538,1.423076923,0.269230769,South East England,109.014,,,,,,,,,
University of St Andrews,31.3,49.75,17.4,1.45,0.1,Scotland,565.69,,,,,,,,,
University of Stirling,23.13333333,48.8,25.2,2.866666667,0,Scotland,573.096,,,,,,,,,
University of Strathclyde,24.58823529,50.23529412,22,2.764705882,0.411764706,Scotland,555.361,,,,,,,,,
University of Sunderland,5,23.07692308,44,25.07692308,2.846153846,North East England,387.43,,,,,,,,,
University of Surrey,20.53333333,50.66666667,25.26666667,3.333333333,0.2,South East England,43.651,,,,,,,,,
University of Sussex,24.5,49.95833333,23.29166667,1.833333333,0.416666667,South East England,71.328,,,,,,,,,
"University of the Arts, London",31,52,15,2,0,London,1.398,,,,,,,,,
University of the Highlands and Islands,14,51.66666667,29.5,3.833333333,1,Scotland,713.859,,,,,,,,,
