UKPRN,Institution,SortOrder,UnitOfAssessment,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007794,University of Glasgow,6760,Biological Sciences,Overall,22,57,20,1,0
10007794,University of Glasgow,6760,"Agriculture, Veterinary and Food Science",Overall,46,45,9,0,0
10007794,University of Glasgow,6760,Earth Systems and Environmental Sciences,Overall,21,63,15,1,0
10007794,University of Glasgow,6760,Chemistry,Overall,21,73,6,0,0
10007794,University of Glasgow,6760,Physics,Overall,22,66,12,0,0
10007794,University of Glasgow,6760,Mathematical Sciences,Overall,19,70,11,0,0
10007794,University of Glasgow,6760,Computer Science and Informatics,Overall,36,48,14,2,0
10007794,University of Glasgow,6760,General Engineering,Overall,30,65,5,0,0
10007794,University of Glasgow,6760,"Architecture, Built Environment and Planning",Overall,48,42,10,0,0
10007794,University of Glasgow,6760,"Geography, Environmental Studies and Archaeology",Overall,37,51,10,2,0
10007794,University of Glasgow,6760,"Geography, Environmental Studies and Archaeology",Overall,10,42,38,10,0
10007794,University of Glasgow,6760,Economics and Econometrics,Overall,12,64,22,2,0
10007794,University of Glasgow,6760,Business and Management Studies,Overall,19,48,28,5,0
10007794,University of Glasgow,6760,Law,Overall,26,49,21,3,1
10007794,University of Glasgow,6760,Politics and International Studies,Overall,13,60,25,2,0
10007794,University of Glasgow,6760,Social Work and Social Policy,Overall,38,45,16,1,0
10007794,University of Glasgow,6760,Education,Overall,32,42,20,6,0
10007794,University of Glasgow,6760,Area Studies,Overall,20,57,21,2,0
10007794,University of Glasgow,6760,Modern Languages and Linguistics,Overall,23,35,33,8,1
10007794,University of Glasgow,6760,Modern Languages and Linguistics,Overall,38,45,15,2,0
10007794,University of Glasgow,6760,English Language and Literature,Overall,43,35,19,3,0
10007794,University of Glasgow,6760,History,Overall,40,40,18,2,0
10007794,University of Glasgow,6760,Classics,Overall,17,47,32,4,0
10007794,University of Glasgow,6760,Philosophy,Overall,8,43,47,2,0
10007794,University of Glasgow,6760,Theology and Religious Studies,Overall,11,44,35,10,0
10007794,University of Glasgow,6760,"Art and Design: History, Practice and Theory",Overall,33,36,27,4,0
10007794,University of Glasgow,6760,"Music, Drama, Dance and Performing Arts",Overall,31,45,15,9,0
10007794,University of Glasgow,6760,"Communication, Cultural and Media Studies, Library and Information Management",Overall,45,35,18,1,1
10007762,Glasgow Caledonian University,6780,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,24,65,10,0,1
10007762,Glasgow Caledonian University,6780,Computer Science and Informatics,Overall,3,41,41,15,0
10007762,Glasgow Caledonian University,6780,General Engineering,Overall,3,35,61,1,0
10007762,Glasgow Caledonian University,6780,"Architecture, Built Environment and Planning",Overall,6,50,35,8,1
10007762,Glasgow Caledonian University,6780,Business and Management Studies,Overall,3,33,54,10,0
10007762,Glasgow Caledonian University,6780,Social Work and Social Policy,Overall,20,43,32,5,0
10007762,Glasgow Caledonian University,6780,Education,Overall,8,35,40,17,0
10007762,Glasgow Caledonian University,6780,History,Overall,9,65,24,2,0
10007762,Glasgow Caledonian University,6780,"Communication, Cultural and Media Studies, Library and Information Management",Overall,17,38,37,8,0
10002681,Glasgow School of Art,6790,"Art and Design: History, Practice and Theory",Overall,23,38,31,8,0
10007764,Heriot-Watt University,6800,"Psychology, Psychiatry and Neuroscience",Overall,20,36,40,3,1
10007764,Heriot-Watt University,6800,"Agriculture, Veterinary and Food Science",Overall,23,42,34,1,0
10007764,Heriot-Watt University,6800,Earth Systems and Environmental Sciences,Overall,6,72,19,3,0
10007764,Heriot-Watt University,6800,Chemistry,Overall,12,77,11,0,0
10007764,Heriot-Watt University,6800,Physics,Overall,25,65,10,0,0
10007764,Heriot-Watt University,6800,Mathematical Sciences,Overall,29,56,15,0,0
10007764,Heriot-Watt University,6800,Computer Science and Informatics,Overall,23,55,18,4,0
10007764,Heriot-Watt University,6800,General Engineering,Overall,36,58,6,0,0
10007764,Heriot-Watt University,6800,"Architecture, Built Environment and Planning",Overall,36,37,23,4,0
10007764,Heriot-Watt University,6800,Business and Management Studies,Overall,11,58,27,3,1
10007764,Heriot-Watt University,6800,Modern Languages and Linguistics,Overall,33,30,25,10,2
10007764,Heriot-Watt University,6800,"Art and Design: History, Practice and Theory",Overall,33,28,20,14,5
10007114,University of the Highlands and Islands,6805,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,17,53,28,2,0
10007114,University of the Highlands and Islands,6805,Earth Systems and Environmental Sciences,Overall,14,66,17,3,0
10007114,University of the Highlands and Islands,6805,"Geography, Environmental Studies and Archaeology",Overall,3,41,45,8,3
10007114,University of the Highlands and Islands,6805,Area Studies,Overall,17,55,25,0,3
10007114,University of the Highlands and Islands,6805,Modern Languages and Linguistics,Overall,16,45,33,6,0
10007114,University of the Highlands and Islands,6805,History,Overall,17,50,29,4,0
10005337,Queen Margaret University Edinburgh,6820,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,4,35,59,2,0
10005337,Queen Margaret University Edinburgh,6820,"Psychology, Psychiatry and Neuroscience",Overall,8,19,64,9,0
10005337,Queen Margaret University Edinburgh,6820,Anthropology and Development Studies,Overall,8,44,36,12,0
10005337,Queen Margaret University Edinburgh,6820,Modern Languages and Linguistics,Overall,34,58,6,2,0
10005337,Queen Margaret University Edinburgh,6820,"Communication, Cultural and Media Studies, Library and Information Management",Overall,16,43,25,16,0
10005500,Robert Gordon University,6830,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,17,53,28,2,0
10005500,Robert Gordon University,6830,Computer Science and Informatics,Overall,0,28,49,23,0
10005500,Robert Gordon University,6830,General Engineering,Overall,6,46,48,0,0
10005500,Robert Gordon University,6830,"Architecture, Built Environment and Planning",Overall,7,15,40,36,2
10005500,Robert Gordon University,6830,Business and Management Studies,Overall,16,29,49,4,2
10005500,Robert Gordon University,6830,Law,Overall,4,28,52,14,2
10005500,Robert Gordon University,6830,Politics and International Studies,Overall,5,39,51,5,0
10005500,Robert Gordon University,6830,"Art and Design: History, Practice and Theory",Overall,4,38,39,17,2
10005500,Robert Gordon University,6830,"Communication, Cultural and Media Studies, Library and Information Management",Overall,15,43,34,8,0
10005561,Royal Conservatoire of Scotland,6840,"Music, Drama, Dance and Performing Arts",Overall,26,41,26,6,1
10005700,SRUC,6860,"Agriculture, Veterinary and Food Science",Overall,42,32,23,3,0
10007803,University of St Andrews,6870,Clinical Medicine,Overall,17,53,22,8,0
10007803,University of St Andrews,6870,"Psychology, Psychiatry and Neuroscience",Overall,46,38,15,1,0
10007803,University of St Andrews,6870,Biological Sciences,Overall,33,51,15,1,0
10007803,University of St Andrews,6870,Chemistry,Overall,28,67,5,0,0
10007803,University of St Andrews,6870,Physics,Overall,37,59,4,0,0
10007803,University of St Andrews,6870,Mathematical Sciences,Overall,26,65,8,1,0
10007803,University of St Andrews,6870,Computer Science and Informatics,Overall,22,55,23,0,0
10007803,University of St Andrews,6870,"Geography, Environmental Studies and Archaeology",Overall,42,41,16,1,0
10007803,University of St Andrews,6870,Economics and Econometrics,Overall,15,62,23,0,0
10007803,University of St Andrews,6870,Business and Management Studies,Overall,38,40,20,2,0
10007803,University of St Andrews,6870,Politics and International Studies,Overall,29,43,23,4,1
10007803,University of St Andrews,6870,Anthropology and Development Studies,Overall,11,54,26,9,0
10007803,University of St Andrews,6870,Modern Languages and Linguistics,Overall,13,60,26,0,1
10007803,University of St Andrews,6870,English Language and Literature,Overall,54,32,14,0,0
10007803,University of St Andrews,6870,History,Overall,43,37,20,0,0
10007803,University of St Andrews,6870,Classics,Overall,37,55,8,0,0
10007803,University of St Andrews,6870,Philosophy,Overall,39,44,16,1,0
10007803,University of St Andrews,6870,Theology and Religious Studies,Overall,31,31,38,0,0
10007803,University of St Andrews,6870,"Art and Design: History, Practice and Theory",Overall,38,55,6,1,0
10007803,University of St Andrews,6870,"Music, Drama, Dance and Performing Arts",Overall,27,53,20,0,0
10007804,University of Stirling,6880,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,45,41,13,1,0
10007804,University of Stirling,6880,"Psychology, Psychiatry and Neuroscience",Overall,43,43,12,2,0
10007804,University of Stirling,6880,"Agriculture, Veterinary and Food Science",Overall,40,48,11,1,0
10007804,University of Stirling,6880,Earth Systems and Environmental Sciences,Overall,14,46,38,2,0
10007804,University of Stirling,6880,Computer Science and Informatics,Overall,8,43,48,1,0
10007804,University of Stirling,6880,"Geography, Environmental Studies and Archaeology",Overall,14,49,34,3,0
10007804,University of Stirling,6880,Business and Management Studies,Overall,28,43,27,2,0
10007804,University of Stirling,6880,Law,Overall,8,57,30,5,0
10007804,University of Stirling,6880,Social Work and Social Policy,Overall,24,54,21,1,0
10007804,University of Stirling,6880,Education,Overall,22,59,15,4,0
10007804,University of Stirling,6880,"Sport and Exercise Sciences, Leisure and Tourism",Overall,20,48,25,7,0
10007804,University of Stirling,6880,English Language and Literature,Overall,19,62,19,0,0
10007804,University of Stirling,6880,History,Overall,22,46,30,2,0
10007804,University of Stirling,6880,Philosophy,Overall,13,49,34,4,0
10007804,University of Stirling,6880,"Communication, Cultural and Media Studies, Library and Information Management",Overall,27,44,21,8,0
10007805,University of Strathclyde,6890,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,44,43,11,1,1
10007805,University of Strathclyde,6890,"Psychology, Psychiatry and Neuroscience",Overall,17,49,31,3,0
10007805,University of Strathclyde,6890,Chemistry,Overall,21,73,6,0,0
10007805,University of Strathclyde,6890,Physics,Overall,40,56,3,1,0
10007805,University of Strathclyde,6890,Mathematical Sciences,Overall,15,59,23,3,0
10007805,University of Strathclyde,6890,Computer Science and Informatics,Overall,11,39,47,2,1
10007805,University of Strathclyde,6890,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Overall,24,56,19,1,0
10007805,University of Strathclyde,6890,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,20,71,8,1,0
10007805,University of Strathclyde,6890,Civil and Construction Engineering,Overall,20,62,16,0,2
10007805,University of Strathclyde,6890,"Architecture, Built Environment and Planning",Overall,17,30,42,11,0
10007805,University of Strathclyde,6890,Business and Management Studies,Overall,43,34,21,1,1
10007805,University of Strathclyde,6890,Law,Overall,17,52,28,3,0
10007805,University of Strathclyde,6890,Politics and International Studies,Overall,29,48,21,2,0
10007805,University of Strathclyde,6890,Social Work and Social Policy,Overall,31,41,21,5,2
10007805,University of Strathclyde,6890,Education,Overall,16,51,28,5,0
10007805,University of Strathclyde,6890,English Language and Literature,Overall,26,45,25,4,0
10007805,University of Strathclyde,6890,History,Overall,27,45,24,4,0
10007800,University of the West of Scotland,6910,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,12,51,33,0,4
10007800,University of the West of Scotland,6910,Computer Science and Informatics,Overall,4,31,42,23,0
10007800,University of the West of Scotland,6910,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,5,46,44,5,0
10007800,University of the West of Scotland,6910,General Engineering,Overall,7,39,49,5,0
10007800,University of the West of Scotland,6910,Business and Management Studies,Overall,4,35,46,15,0
10007800,University of the West of Scotland,6910,Social Work and Social Policy,Overall,4,30,52,13,1
10007800,University of the West of Scotland,6910,Education,Overall,4,41,41,14,0
10007800,University of the West of Scotland,6910,"Sport and Exercise Sciences, Leisure and Tourism",Overall,15,20,39,26,0
10007800,University of the West of Scotland,6910,"Communication, Cultural and Media Studies, Library and Information Management",Overall,7,48,33,9,3
10007856,Aberystwyth University,7060,"Agriculture, Veterinary and Food Science",Overall,32,46,19,1,2
10007856,Aberystwyth University,7060,Earth Systems and Environmental Sciences,Overall,21,68,11,0,0
10007856,Aberystwyth University,7060,Physics,Overall,1,46,48,4,1
10007856,Aberystwyth University,7060,Mathematical Sciences,Overall,8,41,51,0,0
10007856,Aberystwyth University,7060,Computer Science and Informatics,Overall,21,53,24,2,0
10007856,Aberystwyth University,7060,"Geography, Environmental Studies and Archaeology",Overall,28,50,20,1,1
10007856,Aberystwyth University,7060,Business and Management Studies,Overall,10,38,46,6,0
10007856,Aberystwyth University,7060,Law,Overall,7,49,42,2,0
10007856,Aberystwyth University,7060,Politics and International Studies,Overall,44,32,22,2,0
10007856,Aberystwyth University,7060,"Sport and Exercise Sciences, Leisure and Tourism",Overall,8,52,38,2,0
10007856,Aberystwyth University,7060,Modern Languages and Linguistics,Overall,5,42,28,23,2
10007856,Aberystwyth University,7060,Modern Languages and Linguistics,Overall,18,35,33,13,1
10007856,Aberystwyth University,7060,English Language and Literature,Overall,19,53,25,2,1
10007856,Aberystwyth University,7060,History,Overall,8,55,36,0,1
10007856,Aberystwyth University,7060,"Art and Design: History, Practice and Theory",Overall,14,55,15,16,0
10007856,Aberystwyth University,7060,"Music, Drama, Dance and Performing Arts",Overall,23,41,30,6,0
10007856,Aberystwyth University,7060,"Communication, Cultural and Media Studies, Library and Information Management",Overall,6,28,44,22,0
10007857,Bangor University,7070,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,35,60,4,1,0
10007857,Bangor University,7070,"Psychology, Psychiatry and Neuroscience",Overall,40,49,10,1,0
10007857,Bangor University,7070,"Agriculture, Veterinary and Food Science",Overall,32,46,19,1,2
10007857,Bangor University,7070,Earth Systems and Environmental Sciences,Overall,21,68,11,0,0
10007857,Bangor University,7070,Chemistry,Overall,3,64,33,0,0
10007857,Bangor University,7070,Computer Science and Informatics,Overall,8,34,38,20,0
10007857,Bangor University,7070,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,23,45,30,2,0
10007857,Bangor University,7070,Business and Management Studies,Overall,16,52,29,3,0
10007857,Bangor University,7070,Law,Overall,8,44,30,10,8
10007857,Bangor University,7070,"Sport and Exercise Sciences, Leisure and Tourism",Overall,40,47,12,0,1
10007857,Bangor University,7070,Modern Languages and Linguistics,Overall,41,35,20,4,0
10007857,Bangor University,7070,English Language and Literature,Overall,33,40,26,1,0
10007857,Bangor University,7070,History,Overall,11,68,21,0,0
10007857,Bangor University,7070,"Music, Drama, Dance and Performing Arts",Overall,30,51,17,2,0
10007814,Cardiff University,7080,Clinical Medicine,Overall,38,51,10,0,1
10007814,Cardiff University,7080,"Public Health, Health Services and Primary Care",Overall,37,39,22,2,0
10007814,Cardiff University,7080,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,48,46,6,0,0
10007814,Cardiff University,7080,"Psychology, Psychiatry and Neuroscience",Overall,60,32,8,0,0
10007814,Cardiff University,7080,Biological Sciences,Overall,42,42,14,1,1
10007814,Cardiff University,7080,Earth Systems and Environmental Sciences,Overall,24,60,15,1,0
10007814,Cardiff University,7080,Chemistry,Overall,32,65,3,0,0
10007814,Cardiff University,7080,Physics,Overall,31,68,1,0,0
10007814,Cardiff University,7080,Mathematical Sciences,Overall,18,72,10,0,0
10007814,Cardiff University,7080,Computer Science and Informatics,Overall,26,53,20,1,0
10007814,Cardiff University,7080,Civil and Construction Engineering,Overall,47,50,3,0,0
10007814,Cardiff University,7080,General Engineering,Overall,36,61,2,0,1
10007814,Cardiff University,7080,"Architecture, Built Environment and Planning",Overall,34,51,14,1,0
10007814,Cardiff University,7080,"Architecture, Built Environment and Planning",Overall,45,30,16,9,0
10007814,Cardiff University,7080,"Geography, Environmental Studies and Archaeology",Overall,28,44,25,3,0
10007814,Cardiff University,7080,Business and Management Studies,Overall,43,43,13,1,0
10007814,Cardiff University,7080,Law,Overall,36,48,16,0,0
10007814,Cardiff University,7080,Politics and International Studies,Overall,26,55,14,5,0
10007814,Cardiff University,7080,Sociology,Overall,37,49,13,1,0
10007814,Cardiff University,7080,Education,Overall,48,36,14,2,0
10007814,Cardiff University,7080,Modern Languages and Linguistics,Overall,37,47,16,0,0
10007814,Cardiff University,7080,English Language and Literature,Overall,42,45,11,2,0
10007814,Cardiff University,7080,History,Overall,37,46,16,1,0
10007814,Cardiff University,7080,Philosophy,Overall,20,49,27,4,0
10007814,Cardiff University,7080,Theology and Religious Studies,Overall,33,43,21,3,0
10007814,Cardiff University,7080,"Music, Drama, Dance and Performing Arts",Overall,43,42,15,0,0
10007814,Cardiff University,7080,"Communication, Cultural and Media Studies, Library and Information Management",Overall,61,28,10,1,0
10007854,Cardiff Metropolitan University,7090,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,9,65,22,4,0
10007854,Cardiff Metropolitan University,7090,"Sport and Exercise Sciences, Leisure and Tourism",Overall,40,47,12,0,1
10007854,Cardiff Metropolitan University,7090,"Art and Design: History, Practice and Theory",Overall,23,52,22,2,1
10007833,Glynd?r University,7110,"Psychology, Psychiatry and Neuroscience",Overall,1,13,49,37,0
10007833,Glynd?r University,7110,Computer Science and Informatics,Overall,5,16,57,22,0
10007833,Glynd?r University,7110,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,2,59,34,4,1
10007833,Glynd?r University,7110,"Communication, Cultural and Media Studies, Library and Information Management",Overall,8,15,28,44,5
10007793,University of South Wales,7145,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,16,36,48,0,0
10007793,University of South Wales,7145,"Psychology, Psychiatry and Neuroscience",Overall,2,7,63,20,8
10007793,University of South Wales,7145,Mathematical Sciences,Overall,0,43,44,13,0
10007793,University of South Wales,7145,Computer Science and Informatics,Overall,4,22,66,7,1
10007793,University of South Wales,7145,General Engineering,Overall,1,55,35,8,1
10007793,University of South Wales,7145,Business and Management Studies,Overall,0,13,28,49,10
10007793,University of South Wales,7145,Social Work and Social Policy,Overall,30,32,33,4,1
10007793,University of South Wales,7145,"Sport and Exercise Sciences, Leisure and Tourism",Overall,25,41,26,8,0
10007793,University of South Wales,7145,English Language and Literature,Overall,13,38,41,8,0
10007793,University of South Wales,7145,History,Overall,8,55,35,2,0
10007793,University of South Wales,7145,"Art and Design: History, Practice and Theory",Overall,23,52,22,2,1
10007793,University of South Wales,7145,"Music, Drama, Dance and Performing Arts",Overall,15,50,26,8,1
10007855,Swansea University,7150,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,54,41,5,0,0
10007855,Swansea University,7150,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,9,68,21,2,0
10007855,Swansea University,7150,"Psychology, Psychiatry and Neuroscience",Overall,44,31,24,1,0
10007855,Swansea University,7150,Earth Systems and Environmental Sciences,Overall,34,53,13,0,0
10007855,Swansea University,7150,Physics,Overall,10,69,21,0,0
10007855,Swansea University,7150,Mathematical Sciences,Overall,12,40,37,7,4
10007855,Swansea University,7150,Computer Science and Informatics,Overall,40,40,17,3,0
10007855,Swansea University,7150,General Engineering,Overall,35,59,6,0,0
10007855,Swansea University,7150,"Geography, Environmental Studies and Archaeology",Overall,27,47,23,3,0
10007855,Swansea University,7150,Business and Management Studies,Overall,22,50,27,1,0
10007855,Swansea University,7150,Law,Overall,16,43,37,3,1
10007855,Swansea University,7150,Politics and International Studies,Overall,19,51,28,2,0
10007855,Swansea University,7150,Social Work and Social Policy,Overall,35,41,20,4,0
10007855,Swansea University,7150,"Sport and Exercise Sciences, Leisure and Tourism",Overall,28,44,19,9,0
10007855,Swansea University,7150,Modern Languages and Linguistics,Overall,17,46,34,3,0
10007855,Swansea University,7150,Modern Languages and Linguistics,Overall,21,48,31,0,0
10007855,Swansea University,7150,English Language and Literature,Overall,53,31,15,1,0
10007855,Swansea University,7150,History,Overall,27,54,18,1,0
10008574,University of Wales,7190,Modern Languages and Linguistics,Overall,26,39,29,6,0
10007858,University of Wales Trinity Saint David,7205,General Engineering,Overall,0,3,69,28,0
10007858,University of Wales Trinity Saint David,7205,"Geography, Environmental Studies and Archaeology",Overall,9,25,49,17,0
10007858,University of Wales Trinity Saint David,7205,Modern Languages and Linguistics,Overall,26,39,29,6,0
10007858,University of Wales Trinity Saint David,7205,Classics,Overall,4,38,41,9,8
10007858,University of Wales Trinity Saint David,7205,Theology and Religious Studies,Overall,14,48,26,12,0
10007858,University of Wales Trinity Saint David,7205,"Art and Design: History, Practice and Theory",Overall,23,52,22,2,1
10005343,Queen's University Belfast,7600,Clinical Medicine,Overall,20,50,29,0,1
10005343,Queen's University Belfast,7600,"Public Health, Health Services and Primary Care",Overall,23,46,29,1,1
10005343,Queen's University Belfast,7600,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,44,48,8,0,0
10005343,Queen's University Belfast,7600,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,13,65,22,0,0
10005343,Queen's University Belfast,7600,"Psychology, Psychiatry and Neuroscience",Overall,26,48,25,1,0
10005343,Queen's University Belfast,7600,"Agriculture, Veterinary and Food Science",Overall,44,40,15,0,1
10005343,Queen's University Belfast,7600,Earth Systems and Environmental Sciences,Overall,10,72,18,0,0
10005343,Queen's University Belfast,7600,Chemistry,Overall,11,71,18,0,0
10005343,Queen's University Belfast,7600,Physics,Overall,23,65,12,0,0
10005343,Queen's University Belfast,7600,Mathematical Sciences,Overall,5,60,35,0,0
10005343,Queen's University Belfast,7600,Computer Science and Informatics,Overall,12,60,26,2,0
10005343,Queen's University Belfast,7600,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Overall,11,77,12,0,0
10005343,Queen's University Belfast,7600,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,27,66,6,1,0
10005343,Queen's University Belfast,7600,Civil and Construction Engineering,Overall,10,65,24,1,0
10005343,Queen's University Belfast,7600,"Architecture, Built Environment and Planning",Overall,21,51,24,4,0
10005343,Queen's University Belfast,7600,"Geography, Environmental Studies and Archaeology",Overall,27,34,30,8,1
10005343,Queen's University Belfast,7600,Business and Management Studies,Overall,21,49,27,3,0
10005343,Queen's University Belfast,7600,Law,Overall,38,42,19,1,0
10005343,Queen's University Belfast,7600,Politics and International Studies,Overall,21,42,33,4,0
10005343,Queen's University Belfast,7600,Social Work and Social Policy,Overall,24,52,21,2,1
10005343,Queen's University Belfast,7600,Sociology,Overall,12,47,32,6,3
10005343,Queen's University Belfast,7600,Anthropology and Development Studies,Overall,42,26,29,3,0
10005343,Queen's University Belfast,7600,Education,Overall,35,52,11,2,0
10005343,Queen's University Belfast,7600,Modern Languages and Linguistics,Overall,40,45,13,2,0
10005343,Queen's University Belfast,7600,English Language and Literature,Overall,42,38,17,3,0
10005343,Queen's University Belfast,7600,History,Overall,33,51,14,2,0
10005343,Queen's University Belfast,7600,Philosophy,Overall,23,52,25,0,0
10005343,Queen's University Belfast,7600,"Music, Drama, Dance and Performing Arts",Overall,31,27,36,6,0
10008026,St Mary's University College,7610,Politics and International Studies,Overall,0,0,20,67,13
10008010,Stranmillis University College,7620,Education,Overall,20,24,28,28,0
10007807,University of Ulster,7630,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,23,63,10,3,1
10007807,University of Ulster,7630,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,39,48,12,0,1
10007807,University of Ulster,7630,"Psychology, Psychiatry and Neuroscience",Overall,13,40,40,6,1
10007807,University of Ulster,7630,Earth Systems and Environmental Sciences,Overall,9,46,40,5,0
10007807,University of Ulster,7630,Computer Science and Informatics,Overall,9,56,29,6,0
10007807,University of Ulster,7630,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,11,68,20,1,0
10007807,University of Ulster,7630,"Architecture, Built Environment and Planning",Overall,25,47,25,3,0
10007807,University of Ulster,7630,Business and Management Studies,Overall,30,40,28,1,1
10007807,University of Ulster,7630,Law,Overall,45,43,12,0,0
10007807,University of Ulster,7630,Politics and International Studies,Overall,7,49,39,5,0
10007807,University of Ulster,7630,Social Work and Social Policy,Overall,26,44,28,2,0
10007807,University of Ulster,7630,Education,Overall,24,36,32,8,0
10007807,University of Ulster,7630,"Sport and Exercise Sciences, Leisure and Tourism",Overall,14,51,27,8,0
10007807,University of Ulster,7630,Modern Languages and Linguistics,Overall,25,41,30,3,1
10007807,University of Ulster,7630,Modern Languages and Linguistics,Overall,9,41,35,13,2
10007807,University of Ulster,7630,English Language and Literature,Overall,16,58,25,0,1
10007807,University of Ulster,7630,History,Overall,10,49,37,4,0
10007807,University of Ulster,7630,"Art and Design: History, Practice and Theory",Overall,47,32,19,2,0
10007807,University of Ulster,7630,"Music, Drama, Dance and Performing Arts",Overall,28,36,35,1,0
10007807,University of Ulster,7630,"Communication, Cultural and Media Studies, Library and Information Management",Overall,21,39,22,12,6
